iter	Passed	Remaining
0	0	213
1	1	190
2	1	183
3	4	366
4	5	335
5	6	308
6	7	294
7	7	282
8	10	347
9	11	335
10	14	380
11	16	392
12	17	375
13	18	368
14	19	378
15	21	388
16	22	374
17	25	396
18	25	383
19	26	371
20	27	359
21	32	404
22	33	403
23	36	416
24	37	417
25	39	414
26	39	403
27	43	421
28	45	425
29	46	415
30	47	408
31	49	416
32	50	411
33	52	407
34	52	398
35	53	389
36	55	390
37	55	383
38	56	375
39	57	375
40	62	395
41	63	389
42	64	383
43	64	376
44	65	370
45	65	364
46	66	360
47	73	386
48	74	380
49	75	377
50	76	372
51	77	367
52	77	361
53	79	362
54	80	356
55	83	364
56	84	358
57	86	362
58	89	366
59	90	361
60	90	356
61	91	351
62	92	346
63	92	341
64	96	348
65	97	344
66	99	345
67	100	344
68	102	341
69	106	350
70	108	349
71	110	350
72	112	349
73	114	349
74	117	351
75	117	347
76	121	352
77	123	351
78	124	346
79	125	345
80	126	343
81	127	339
82	130	342
83	132	341
84	136	344
85	136	340
86	138	338
87	141	341
88	142	338
89	146	340
90	146	336
91	148	334
92	151	337
93	152	333
94	152	329
95	153	326
96	154	324
97	155	321
98	156	317
99	156	313
100	157	310
101	159	309
102	160	306
103	161	303
104	161	300
105	162	297
106	163	295
107	164	292
108	165	289
109	165	286
110	166	283
111	167	281
112	168	279
113	169	276
114	170	273
115	171	271
116	172	269
117	172	266
118	173	263
119	176	264
120	176	261
121	177	258
122	178	256
123	178	253
124	179	250
125	179	248
126	180	245
127	180	243
128	181	240
129	182	238
130	182	235
131	183	233
132	183	230
133	184	228
134	184	226
135	185	223
136	186	221
137	186	219
138	187	216
139	187	214
140	188	212
141	188	210
142	189	207
143	189	205
144	190	203
145	191	201
146	191	199
147	192	197
148	192	195
149	193	193
150	193	191
151	194	189
152	194	187
153	195	185
154	195	183
155	196	181
156	196	179
157	197	177
158	198	175
159	198	173
160	199	171
161	199	170
162	200	168
163	200	166
164	201	164
165	201	163
166	202	161
167	202	159
168	203	157
169	203	155
170	204	154
171	205	152
172	205	150
173	206	149
174	206	147
175	207	146
176	208	144
177	208	143
178	209	141
179	209	139
180	210	138
181	210	136
182	211	135
183	212	134
184	213	132
185	213	131
186	214	129
187	215	128
188	215	126
189	216	125
190	216	123
191	217	122
192	217	120
193	218	119
194	220	118
195	221	117
196	221	116
197	222	114
198	223	113
199	224	112
200	225	110
201	225	109
202	226	108
203	226	106
204	227	105
205	228	104
206	228	102
207	229	101
208	229	100
209	230	98
210	230	97
211	231	96
212	231	94
213	232	93
214	232	92
215	233	90
216	233	89
217	234	88
218	234	86
219	235	85
220	235	84
221	236	83
222	236	81
223	237	80
224	237	79
225	238	78
226	238	76
227	239	75
228	239	74
229	240	73
230	240	71
231	241	70
232	242	69
233	242	68
234	243	67
235	243	66
236	244	64
237	244	63
238	245	62
239	245	61
240	246	60
241	246	59
242	247	57
243	247	56
244	248	55
245	248	54
246	249	53
247	249	52
248	250	51
249	250	50
250	251	49
251	251	47
252	252	46
253	252	45
254	253	44
255	253	43
256	254	42
257	254	41
258	255	40
259	255	39
260	256	38
261	256	37
262	257	36
263	258	35
264	258	34
265	259	33
266	260	32
267	260	31
268	261	30
269	262	29
270	262	28
271	263	27
272	263	26
273	264	25
274	264	24
275	265	23
276	265	22
277	266	21
278	266	20
279	267	19
280	267	18
281	268	17
282	268	16
283	269	15
284	270	14
285	270	13
286	271	12
287	271	11
288	272	10
289	272	9
290	272	8
291	273	7
292	273	6
293	274	5
294	274	4
295	275	3
296	275	2
297	276	1
298	277	0
299	277	0
