iter	MultiClass
0	1.569602411
1	1.526989166
2	1.475548903
3	1.437961735
4	1.39332504
5	1.371143039
6	1.352959638
7	1.333473451
8	1.307332714
9	1.281770883
10	1.251551809
11	1.216818125
12	1.194159211
13	1.174279475
14	1.15281328
15	1.128777774
16	1.102138357
17	1.07426293
18	1.058498751
19	1.034703393
20	1.01044936
21	0.994704666
22	0.9736020459
23	0.9535341286
24	0.9391282471
25	0.9198881425
26	0.9079474086
27	0.8960025376
28	0.8851430718
29	0.8727739109
30	0.8597454891
31	0.843029106
32	0.8274568105
33	0.8186096035
34	0.8121572732
35	0.806453313
36	0.8011739345
37	0.787041595
38	0.7774152306
39	0.7682481478
40	0.7638462502
41	0.7562451138
42	0.7484058013
43	0.7441831307
44	0.7309332682
45	0.7265669562
46	0.716013252
47	0.7085309192
48	0.7040673371
49	0.693734846
50	0.6828500231
51	0.6790734188
52	0.6690726594
53	0.6598304907
54	0.6507907141
55	0.64056375
56	0.6340214647
57	0.6278598449
58	0.6189574322
59	0.6107750629
60	0.6084802031
61	0.6039910604
62	0.6019293193
63	0.5968800958
64	0.5923838163
65	0.5902723776
66	0.5851855634
67	0.5797070775
68	0.5719178509
69	0.56832603
70	0.5605466217
71	0.5561556753
72	0.5518429281
73	0.5481688283
74	0.5456186459
75	0.5415702934
76	0.5375994897
77	0.5306425917
78	0.5245527677
79	0.5191829109
80	0.5183001495
81	0.5167233736
82	0.5106355381
83	0.5091214829
84	0.5030821382
85	0.5005700413
86	0.4956400391
87	0.4904177757
88	0.4871133106
89	0.4815278994
90	0.4804236222
91	0.4777365815
92	0.4750112234
93	0.4699608198
94	0.4680541603
95	0.4628662029
96	0.4601927506
97	0.4576604469
98	0.4557480781
99	0.4539901292
100	0.4513252433
101	0.4494676238
102	0.4466697905
103	0.4426263942
104	0.4395071883
105	0.438558786
106	0.4363881872
107	0.4336163746
108	0.4305759466
109	0.4276752518
110	0.4256291319
111	0.4236735537
112	0.422844381
113	0.4214833907
114	0.4186946785
115	0.4172294941
116	0.4148423765
117	0.4131120738
118	0.4113806258
119	0.409707637
120	0.4073034371
121	0.40663626
122	0.4034799848
123	0.4008816453
124	0.3986803288
125	0.397635854
126	0.3964050571
127	0.3952115816
128	0.3929451063
129	0.3906974025
130	0.3869511103
131	0.3856991192
132	0.3835743364
133	0.3824773981
134	0.3801944887
135	0.3780794749
136	0.3775099355
137	0.3753471418
138	0.3747896362
139	0.3728943446
140	0.3717572938
141	0.3699492323
142	0.3667606413
143	0.3657439612
144	0.3628538292
145	0.3595806374
146	0.3583217378
147	0.3573593501
148	0.3555258703
149	0.3545335695
150	0.352265126
151	0.3517609754
152	0.3499453364
153	0.3472270111
154	0.3463090884
155	0.3446940525
156	0.3429461722
157	0.3420235257
158	0.3411405707
159	0.3375462796
160	0.3366563423
161	0.3348792799
162	0.3335135982
163	0.3330385776
164	0.3314326432
165	0.3306464878
166	0.3303364359
167	0.3299822084
168	0.3272531751
169	0.326505308
170	0.3262071352
171	0.3252448096
172	0.3237138893
173	0.3211580898
174	0.3209129268
175	0.3206896951
176	0.318404093
177	0.3170917839
178	0.3146543943
179	0.3137742299
180	0.3129780767
181	0.3121770864
182	0.3106099358
183	0.3102778715
184	0.3096669521
185	0.3079146045
186	0.3070867279
187	0.3058421085
188	0.305184584
189	0.3041825034
190	0.3034991339
191	0.3021599271
192	0.3008008902
193	0.300094289
194	0.2994280517
195	0.2982951908
196	0.2962919568
197	0.2959651106
198	0.2945707155
199	0.2932462666
