iter	Passed	Remaining
0	0	156
1	1	147
2	2	144
3	2	141
4	3	138
5	4	135
6	4	132
7	5	130
8	6	129
9	6	128
10	7	127
11	8	127
12	8	126
13	9	128
14	10	127
15	11	127
16	11	127
17	12	125
18	13	125
19	13	124
20	14	124
21	15	124
22	16	124
23	16	123
24	17	122
25	18	121
26	18	120
27	19	120
28	20	119
29	20	118
30	21	118
31	22	116
32	22	116
33	23	115
34	24	114
35	25	113
36	25	113
37	26	112
38	27	111
39	27	111
40	28	110
41	29	109
42	29	109
43	30	108
44	31	107
45	31	106
46	32	105
47	33	104
48	33	103
49	34	103
50	35	102
51	35	101
52	36	101
53	37	100
54	37	99
55	38	98
56	39	97
57	39	97
58	40	96
59	41	96
60	41	95
61	42	94
62	43	93
63	43	93
64	44	92
65	45	91
66	45	90
67	46	90
68	47	89
69	47	88
70	48	88
71	49	88
72	50	87
73	50	86
74	51	86
75	52	85
76	53	84
77	53	83
78	54	83
79	55	82
80	55	81
81	56	80
82	56	80
83	57	79
84	58	78
85	58	78
86	59	77
87	60	76
88	60	76
89	61	75
90	62	74
91	63	73
92	63	73
93	64	72
94	65	71
95	65	71
96	66	70
97	67	69
98	67	69
99	68	68
100	69	67
101	69	67
102	70	66
103	71	65
104	71	64
105	72	64
106	72	63
107	73	62
108	74	62
109	74	61
110	75	60
111	76	59
112	76	59
113	77	58
114	78	57
115	78	57
116	79	56
117	80	55
118	80	55
119	81	54
120	82	53
121	82	52
122	83	52
123	84	51
124	84	50
125	85	50
126	88	50
127	88	50
128	89	49
129	90	48
130	90	47
131	91	47
132	92	46
133	93	45
134	93	45
135	94	44
136	95	43
137	96	43
138	96	42
139	97	41
140	98	41
141	99	40
142	99	39
143	100	39
144	101	38
145	102	37
146	102	37
147	103	36
148	104	35
149	104	34
150	105	34
151	106	33
152	106	32
153	107	32
154	108	31
155	108	30
156	109	30
157	110	29
158	111	28
159	111	27
160	112	27
161	113	26
162	113	25
163	114	25
164	115	24
165	115	23
166	116	23
167	117	22
168	118	21
169	118	20
170	119	20
171	120	19
172	120	18
173	121	18
174	122	17
175	122	16
176	123	16
177	124	15
178	125	14
179	125	13
180	126	13
181	127	12
182	128	11
183	129	11
184	130	10
185	131	9
186	132	9
187	132	8
188	133	7
189	134	7
190	134	6
191	135	5
192	136	4
193	136	4
194	137	3
195	138	2
196	138	2
197	139	1
198	140	0
199	140	0
